date_added,week,category,consolidated_title,weekly_rank,cumulative_weeks_in_top_10,weekly_hours_viewed,imdb_rating,runtime
03-05-2022,01-05-2022,Films (English),365 Days: This Day,1,1,77980000.0,2.5,111
21-06-2022,19-06-2022,TV (Non-English),Our Blues: Season 1,2,8,15000000.0,8.3,60
07-06-2022,05-06-2022,Films (English),Jackass 4.5,10,3,4820000.0,6.6,90
24-05-2022,22-05-2022,Films (English),Sonic the Hedgehog,4,4,13024950.0,6.5,99
24-05-2022,22-05-2022,Films (English),A Perfect Pairing,2,1,19456453.0,6.1,101
31-05-2022,29-05-2022,TV (Non-English),My Liberation Notes: Season 1,5,2,13130000.0,7.0,60
12-04-2022,10-04-2022,Films (English),Return to Space,10,1,4550000.0,7.0,106
26-04-2022,24-04-2022,Films (Non-English),Dasvi,10,3,1620000.0,7.5,125
26-04-2022,24-04-2022,Films (English),The In Between,2,3,13350000.0,5.8,115
12-04-2022,10-04-2022,TV (English),The Last Kingdom: Season 5,9,5,12970000.0,8.4,60
12-04-2022,10-04-2022,Films (English),The Blind Side,5,2,8710000.0,7.6,129
12-04-2022,10-04-2022,TV (English),Better Call Saul: Season 5,6,1,15170000.0,8.8,46
28-06-2022,26-06-2022,TV (English),Stranger Things 3,3,5,32230000.0,8.7,51
26-04-2022,24-04-2022,TV (English),The Creature Cases: Season 1,8,1,13560000.0,8.5,28
14-06-2022,12-06-2022,Films (Non-English),CBI 5: The Brain,10,1,1710000.0,7.0,125
24-05-2022,22-05-2022,Films (Non-English),F*ck Love Too,5,1,5602405.0,7.0,125
07-06-2022,05-06-2022,Films (Non-English),Gangubai Kathiawadi,6,6,2840000.0,7.0,152
10-05-2022,08-05-2022,Films (Non-English),Honeymoon with My Mother,2,2,23240000.0,7.0,125
10-05-2022,08-05-2022,Films (English),The Mystery of Marilyn Monroe: The Unheard Tapes,7,2,7590000.0,6.2,101
21-06-2022,19-06-2022,TV (English),Stranger Things 2,5,4,38660000.0,8.7,51
17-05-2022,15-05-2022,Films (English),Operation Mincemeat,5,1,12620000.0,7.0,106
26-04-2022,24-04-2022,Films (English),The Adam Project,6,7,7480000.0,7.0,106
14-06-2022,12-06-2022,Films (English),Deep Impact,9,1,6260000.0,6.2,120
26-04-2022,24-04-2022,TV (English),Married at First Sight: Season 10,9,1,12810000.0,6.2,83
19-04-2022,17-04-2022,TV (English),Our Great National Parks: Limited Series,5,1,17090000.0,7.7,50
10-05-2022,08-05-2022,Films (English),Silverton Siege,3,2,11150000.0,6.1,100
14-06-2022,12-06-2022,TV (Non-English),As the Crow Flies: Season 1,2,1,18310000.0,7.0,83
17-05-2022,15-05-2022,TV (English),Workin' Moms: Season 6,3,1,19190000.0,7.7,30
31-05-2022,29-05-2022,TV (English),Stranger Things 3,4,1,24290000.0,8.7,51
05-04-2022,03-04-2022,TV (English),Inventing Anna: Limited Series,4,8,21960000.0,6.9,603
28-06-2022,26-06-2022,TV (Non-English),Intimacy: Season 1,2,3,16560000.0,7.2,119
21-06-2022,19-06-2022,TV (Non-English),"Malverde, El Santo Patron",3,2,12470000.0,7.0,60
17-05-2022,15-05-2022,TV (English),Selling Sunset: Season 5,7,4,10860000.0,6.5,30
26-04-2022,24-04-2022,Films (Non-English),In Good Hands,9,5,1700000.0,7.0,125
21-06-2022,19-06-2022,TV (English),Peaky Blinders: Season 1,10,1,16420000.0,8.8,60
07-06-2022,05-06-2022,TV (Non-English),The Marked Heart: Season 1,6,7,9870000.0,7.0,60
12-04-2022,10-04-2022,TV (English),Inventing Anna: Limited Series,5,9,17320000.0,6.9,603
28-06-2022,26-06-2022,TV (Non-English),Money Heist: Korea - Joint Economic Area: Season 1,1,1,33740000.0,7.0,60
07-06-2022,05-06-2022,Films (English),The Amazing Spider-Man,3,1,13500000.0,6.9,136
03-05-2022,01-05-2022,TV (English),Anatomy of a Scandal: Limited Series,3,3,30170000.0,7.0,268
17-05-2022,15-05-2022,TV (English),Anatomy of a Scandal: Limited Series,10,5,9670000.0,7.0,268
31-05-2022,29-05-2022,TV (English),Ozark: Season 4,6,12,21910000.0,8.5,60
14-06-2022,12-06-2022,TV (English),First Kill: Season 1,7,1,30340000.0,5.0,97
10-05-2022,08-05-2022,TV (English),Bullsh*t The Gameshow: Season 1,8,1,11850000.0,7.0,60
07-06-2022,05-06-2022,TV (English),Ozark: Season 4,7,13,16770000.0,8.5,60
10-05-2022,08-05-2022,Films (Non-English),40 Years Young,4,1,6960000.0,7.0,125
21-06-2022,19-06-2022,Films (English),Hustle,1,2,57190000.0,7.9,106
19-04-2022,17-04-2022,Films (Non-English),All Hail,5,3,4320000.0,7.0,125
31-05-2022,29-05-2022,TV (Non-English),Who Killed Sara?: Season 1,3,2,14600000.0,6.5,60
07-06-2022,05-06-2022,TV (Non-English),Wrong Side of the Tracks: Season 1,1,3,37160000.0,7.0,60
03-05-2022,01-05-2022,Films (Non-English),The Taming of the Shrewd,7,3,2400000.0,7.0,125
31-05-2022,29-05-2022,TV (Non-English),The Marked Heart: Season 1,6,6,12880000.0,7.0,60
07-06-2022,05-06-2022,Films (Non-English),The Takedown,4,5,3670000.0,7.0,125
21-06-2022,19-06-2022,Films (Non-English),Bhool Bhulaiyaa 2,5,1,4120000.0,6.1,143
26-04-2022,24-04-2022,Films (Non-English),All Hail,7,4,1920000.0,7.0,125
24-05-2022,22-05-2022,Films (Non-English),The Perfect Family,2,2,14840584.0,7.0,125
12-04-2022,10-04-2022,TV (English),Is It Cake?: Season 1,7,3,14760000.0,5.7,40
17-05-2022,15-05-2022,TV (Non-English),The Marked Heart: Season 1,2,4,28930000.0,7.0,60
14-06-2022,12-06-2022,TV (English),Stranger Things 3,4,3,47600000.0,8.7,51
03-05-2022,01-05-2022,Films (Non-English),Gangubai Kathiawadi,1,1,13810000.0,7.0,152
21-06-2022,19-06-2022,TV (Non-English),Café con aroma de mujer: Season 1,6,18,9760000.0,7.6,45
05-04-2022,03-04-2022,Films (Non-English),Battle: Freestyle,6,1,3440000.0,7.0,125
24-05-2022,22-05-2022,TV (Non-English),The Marked Heart: Season 1,4,5,14943650.0,7.0,60
03-05-2022,01-05-2022,TV (English),Grace and Frankie: Season 7,7,1,15470000.0,8.2,30
31-05-2022,29-05-2022,TV (English),The Boss Baby: Back in the Crib: Season 1,7,2,19890000.0,6.9,25
31-05-2022,29-05-2022,TV (Non-English),Business Proposal: Season 1,10,12,9990000.0,8.8,60
07-06-2022,05-06-2022,Films (Non-English),Jersey,9,3,2110000.0,7.3,170
